기간,구분,합계,맑음,구름많음,구름조금,흐림,눈,눈/비,비,비/눈,소나기
2012,합계,"5,724","3,540",846,199,754,57,1,302,20,5
2012,종로구,245,168,44,3,16,1,-,10,3,-
2012,중구,196,124,34,1,26,3,-,7,1,-
2012,용산구,150,89,17,11,19,2,1,10,1,-
2012,성동구,197,121,42,4,17,2,-,11,-,-
2012,광진구,217,137,28,5,30,1,-,16,-,-
2012,동대문구,188,92,37,15,23,1,-,19,1,-
2012,중랑구,200,124,28,3,35,-,-,10,-,-
2012,성북구,220,126,50,7,23,3,-,10,-,1
2012,강북구,201,106,31,11,30,1,-,20,2,-
2012,도봉구,163,92,27,20,16,1,-,7,-,-
2012,노원구,234,173,30,-,18,3,-,10,-,-
2012,은평구,220,116,32,16,36,4,-,15,-,1
2012,서대문구,173,112,25,1,27,-,-,6,2,-
2012,마포구,209,137,30,1,25,4,-,12,-,-
2012,양천구,209,147,33,4,17,1,-,7,-,-
2012,강서구,282,200,24,2,32,9,-,14,1,-
2012,구로구,213,146,21,-,25,3,-,17,1,-
2012,금천구,164,107,17,-,28,1,-,11,-,-
2012,영등포구,252,166,25,8,41,4,-,6,2,-
2012,동작구,209,131,25,15,22,3,-,11,1,1
2012,관악구,409,278,58,-,55,3,-,14,1,-
2012,서초구,230,118,53,18,24,3,-,14,-,-
2012,강남구,385,225,28,9,102,1,-,15,4,1
2012,송파구,295,157,64,20,37,3,-,13,-,1
2012,강동구,263,148,43,25,30,-,-,17,-,-
2013,합계,"5,646","2,987","1,038",337,678,57,3,518,27,1
2013,종로구,254,127,70,7,26,-,-,24,-,-
2013,중구,190,106,32,11,20,-,-,20,1,-
2013,용산구,170,85,34,10,24,3,-,14,-,-
2013,성동구,185,73,52,21,25,1,-,11,2,-
2013,광진구,214,100,40,19,31,-,-,22,2,-
2013,동대문구,206,110,28,18,26,1,-,21,2,-
2013,중랑구,158,81,24,18,12,3,-,19,1,-
2013,성북구,204,105,47,8,17,3,-,24,-,-
2013,강북구,229,110,50,17,29,3,1,19,-,-
2013,도봉구,218,96,34,32,32,4,-,19,1,-
2013,노원구,260,154,52,7,21,4,-,22,-,-
2013,은평구,211,120,42,8,23,-,-,18,-,-
2013,서대문구,221,113,51,10,18,6,-,21,2,-
2013,마포구,226,139,40,6,23,1,-,16,1,-
2013,양천구,233,127,50,7,18,3,-,28,-,-
2013,강서구,242,141,39,6,33,-,-,20,3,-
2013,구로구,238,140,39,9,19,3,-,27,1,-
2013,금천구,144,90,23,10,6,3,-,12,-,-
2013,영등포구,219,118,45,10,23,2,-,18,3,-
2013,동작구,159,86,35,5,18,2,-,13,-,-
2013,관악구,299,173,41,9,39,4,1,32,-,-
2013,서초구,216,117,38,23,22,2,-,12,1,1
2013,강남구,421,214,45,20,104,3,1,28,6,-
2013,송파구,304,159,57,22,28,4,-,34,-,-
2013,강동구,225,103,30,24,41,2,-,24,1,-
2014,합계,"5,815","3,930",298,797,388,48,2,303,44,5
2014,종로구,239,188,1,29,6,-,-,13,2,-
2014,중구,233,189,-,22,9,2,-,8,3,-
2014,용산구,208,142,11,31,11,1,-,11,1,-
2014,성동구,204,143,18,24,11,1,-,6,1,-
2014,광진구,244,159,15,38,16,1,-,7,8,-
2014,동대문구,221,153,12,30,13,1,1,11,-,-
2014,중랑구,193,131,4,37,6,3,-,10,2,-
2014,성북구,175,124,7,31,5,-,-,7,1,-
2014,강북구,189,115,13,30,20,4,-,7,-,-
2014,도봉구,197,119,22,31,14,1,-,9,1,-
2014,노원구,252,191,7,26,10,-,-,16,1,1
2014,은평구,198,103,34,26,23,3,1,8,-,-
2014,서대문구,212,138,7,26,25,1,-,12,2,1
2014,마포구,250,171,17,36,8,2,-,16,-,-
2014,양천구,209,152,5,30,6,-,-,15,-,1
2014,강서구,306,242,2,34,9,1,-,14,4,-
2014,구로구,180,122,11,28,5,3,-,11,-,-
2014,금천구,126,90,4,18,1,2,-,11,-,-
2014,영등포구,239,164,2,37,10,1,-,20,3,2
2014,동작구,178,113,8,26,22,2,-,6,1,-
2014,관악구,262,167,19,26,22,6,-,21,1,-
2014,서초구,331,166,38,61,44,3,-,17,2,-
2014,강남구,427,257,24,55,60,6,-,20,5,-
